"Order Number","จำนวนการสั่งซื้อ"
"Max Qty To Return","แม็กซ์จำนวนการกลับ"
"Order Id","รหัสการสั่งซื้อ"
"Qty To Return","จำนวนการกลับ"
"Serial","อนุกรม"
"Serials Shipped","Serials จัดส่ง"
"Qty Shipped","จำนวนการจัดส่ง"
"Send","ส่ง"
"Send items","ส่งรายการ"
"Are you sure you wan't to send selected items?","คุณคุณแน่ใจ wan&#39;t ที่จะส่งรายการที่เลือก?"
"Max Qty To Ship","แม็กซ์จำนวนที่จะจัดส่ง"
"Qty To Ship","จำนวนที่จะจัดส่ง"
"Reservation Information","ข้อมูลการจอง"
"Is From Order","จากการสั่งซื้อสินค้า"
"Add New Reservation","เพิ่มการจองห้องพักใหม่"
"Is Order","เป็นคำสั่ง"
